year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,age,profit,new_year
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527,DOLLARS(millions),13,35273527352735273527,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",31145,DOLLARS(millions),13,3114531145311453114531145,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,32642,DOLLARS(millions),13,3264232642326423264232642,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185,DOLLARS(millions),13,2918529185291852918529185,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616,DOLLARS(millions),13,26162616261626162616,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions),13,133625133625133625133625133625,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626,DOLLARS(millions),13,7662676626766267662676626,4022
2011,B,Mining,a_0,Activity unit,333,COUNT,13,333333333333333,4022
2011,B,Mining,a_0,Rolling mean employees,0,COUNT,13,00000,4022
2011,B,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions),13,9898989898,4022
2011,B,Mining,a_0,"Sales, government funding, grants and subsidies",2111,DOLLARS(millions),13,21112111211121112111,4022
2011,B,Mining,a_0,Total income,2271,DOLLARS(millions),13,22712271227122712271,4022
2011,B,Mining,a_0,Total expenditure,1673,DOLLARS(millions),13,16731673167316731673,4022
2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions),13,636636636636636,4022
2011,B,Mining,a_0,Total assets,11988,DOLLARS(millions),13,1198811988119881198811988,4022
2011,B,Mining,a_0,Fixed tangible assets,3579,DOLLARS(millions),13,35793579357935793579,4022
2011,B,Mining,b_1-5,Activity unit,168,COUNT,13,168168168168168,4022
2011,B,Mining,b_1-5,Rolling mean employees,360,COUNT,13,360360360360360,4022
2011,B,Mining,b_1-5,Salaries and wages paid,50,DOLLARS(millions),13,5050505050,4022
2011,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",443,DOLLARS(millions),13,443443443443443,4022
2011,B,Mining,b_1-5,Total income,462,DOLLARS(millions),13,462462462462462,4022
2011,B,Mining,b_1-5,Total expenditure,411,DOLLARS(millions),13,411411411411411,4022
2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions),13,8989898989,4022
2011,B,Mining,b_1-5,Total assets,1213,DOLLARS(millions),13,12131213121312131213,4022
2011,B,Mining,b_1-5,Fixed tangible assets,771,DOLLARS(millions),13,771771771771771,4022
2011,B,Mining,c_6-9,Activity unit,21,COUNT,13,2121212121,4022
2011,B,Mining,c_6-9,Rolling mean employees,174,COUNT,13,174174174174174,4022
2011,B,Mining,c_6-9,Salaries and wages paid,12,DOLLARS(millions),13,1212121212,4022
2011,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,c_6-9,Total income,65,DOLLARS(millions),13,6565656565,4022
2011,B,Mining,c_6-9,Total expenditure,68,DOLLARS(millions),13,6868686868,4022
2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions),13,00000,4022
2011,B,Mining,c_6-9,Total assets,169,DOLLARS(millions),13,169169169169169,4022
2011,B,Mining,c_6-9,Fixed tangible assets,36,DOLLARS(millions),13,3636363636,4022
2011,B,Mining,d_10-19,Activity unit,36,COUNT,13,3636363636,4022
2011,B,Mining,d_10-19,Rolling mean employees,489,COUNT,13,489489489489489,4022
2011,B,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions),13,3131313131,4022
2011,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",261,DOLLARS(millions),13,261261261261261,4022
2011,B,Mining,d_10-19,Total income,265,DOLLARS(millions),13,265265265265265,4022
2011,B,Mining,d_10-19,Total expenditure,239,DOLLARS(millions),13,239239239239239,4022
2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions),13,4545454545,4022
2011,B,Mining,d_10-19,Total assets,375,DOLLARS(millions),13,375375375375375,4022
2011,B,Mining,d_10-19,Fixed tangible assets,162,DOLLARS(millions),13,162162162162162,4022
2011,B,Mining,e_20-49,Activity unit,21,COUNT,13,2121212121,4022
2011,B,Mining,e_20-49,Rolling mean employees,714,COUNT,13,714714714714714,4022
2011,B,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions),13,5959595959,4022
2011,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",759,DOLLARS(millions),13,759759759759759,4022
2011,B,Mining,e_20-49,Total income,872,DOLLARS(millions),13,872872872872872,4022
2011,B,Mining,e_20-49,Total expenditure,490,DOLLARS(millions),13,490490490490490,4022
2011,B,Mining,e_20-49,Operating profit before tax,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,e_20-49,Total assets,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,e_20-49,Fixed tangible assets,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,f_50-99,Activity unit,12,COUNT,13,1212121212,4022
2011,B,Mining,f_50-99,Rolling mean employees,663,COUNT,13,663663663663663,4022
2011,B,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions),13,6060606060,4022
2011,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",1188,DOLLARS(millions),13,11881188118811881188,4022
2011,B,Mining,f_50-99,Total income,1346,DOLLARS(millions),13,13461346134613461346,4022
2011,B,Mining,f_50-99,Total expenditure,811,DOLLARS(millions),13,811811811811811,4022
2011,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,f_50-99,Total assets,2644,DOLLARS(millions),13,26442644264426442644,4022
2011,B,Mining,f_50-99,Fixed tangible assets,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,g_100-199,Activity unit,6,COUNT,13,66666,4022
2011,B,Mining,g_100-199,Rolling mean employees,651,COUNT,13,651651651651651,4022
2011,B,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions),13,4848484848,4022
2011,B,Mining,g_100-199,"Sales, government funding, grants and subsidies",C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,g_100-199,Total income,272,DOLLARS(millions),13,272272272272272,4022
2011,B,Mining,g_100-199,Total expenditure,376,DOLLARS(millions),13,376376376376376,4022
2011,B,Mining,g_100-199,Operating profit before tax,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,g_100-199,Total assets,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,g_100-199,Fixed tangible assets,C,DOLLARS(millions),13,CCCCC,4022
2011,B,Mining,h_200+,Activity unit,9,COUNT,13,99999,4022
2011,B,Mining,h_200+,Rolling mean employees,2850,COUNT,13,28502850285028502850,4022
2011,B,Mining,h_200+,Salaries and wages paid,261,DOLLARS(millions),13,261261261261261,4022
2011,B,Mining,h_200+,"Sales, government funding, grants and subsidies",1858,DOLLARS(millions),13,18581858185818581858,4022
2011,B,Mining,h_200+,Total income,1933,DOLLARS(millions),13,19331933193319331933,4022
2011,B,Mining,h_200+,Total expenditure,1673,DOLLARS(millions),13,16731673167316731673,4022
2011,B,Mining,h_200+,Operating profit before tax,286,DOLLARS(millions),13,286286286286286,4022
2011,B,Mining,h_200+,Total assets,2099,DOLLARS(millions),13,20992099209920992099,4022
2011,B,Mining,h_200+,Fixed tangible assets,1050,DOLLARS(millions),13,10501050105010501050,4022
2011,B,Mining,i_Industry_Total,Activity unit,606,COUNT,13,606606606606606,4022
2011,B,Mining,i_Industry_Total,Rolling mean employees,5907,COUNT,13,59075907590759075907,4022
2011,B,Mining,i_Industry_Total,Salaries and wages paid,621,DOLLARS(millions),13,621621621621621,4022
2011,B,Mining,i_Industry_Total,"Sales, government funding, grants and subsidies",6944,DOLLARS(millions),13,69446944694469446944,4022
2011,B,Mining,i_Industry_Total,Total income,7486,DOLLARS(millions),13,74867486748674867486,4022
2011,B,Mining,i_Industry_Total,Total expenditure,5742,DOLLARS(millions),13,57425742574257425742,4022
2011,B,Mining,i_Industry_Total,Operating profit before tax,1895,DOLLARS(millions),13,18951895189518951895,4022
2011,B,Mining,i_Industry_Total,Total assets,26953,DOLLARS(millions),13,2695326953269532695326953,4022
2011,B,Mining,i_Industry_Total,Fixed tangible assets,8859,DOLLARS(millions),13,88598859885988598859,4022
2011,C,Manufacturing,a_0,Activity unit,8382,COUNT,13,83828382838283828382,4022
2011,C,Manufacturing,a_0,Rolling mean employees,0,COUNT,13,00000,4022
2011,C,Manufacturing,a_0,Salaries and wages paid,154,DOLLARS(millions),13,154154154154154,4022
2011,C,Manufacturing,a_0,"Sales, government funding, grants and subsidies",1993,DOLLARS(millions),13,19931993199319931993,4022
2011,C,Manufacturing,a_0,Total income,2004,DOLLARS(millions),13,20042004200420042004,4022
2011,C,Manufacturing,a_0,Total expenditure,1796,DOLLARS(millions),13,17961796179617961796,4022
2011,C,Manufacturing,a_0,Operating profit before tax,204,DOLLARS(millions),13,204204204204204,4022
2011,C,Manufacturing,a_0,Total assets,2173,DOLLARS(millions),13,21732173217321732173,4022
2011,C,Manufacturing,a_0,Fixed tangible assets,645,DOLLARS(millions),13,645645645645645,4022
2011,C,Manufacturing,b_1-5,Activity unit,6942,COUNT,13,69426942694269426942,4022
2011,C,Manufacturing,b_1-5,Rolling mean employees,15327,COUNT,13,1532715327153271532715327,4022
2011,C,Manufacturing,b_1-5,Salaries and wages paid,627,DOLLARS(millions),13,627627627627627,4022
2011,C,Manufacturing,b_1-5,"Sales, government funding, grants and subsidies",3669,DOLLARS(millions),13,36693669366936693669,4022
2011,C,Manufacturing,b_1-5,Total income,3683,DOLLARS(millions),13,36833683368336833683,4022
2011,C,Manufacturing,b_1-5,Total expenditure,3458,DOLLARS(millions),13,34583458345834583458,4022
2011,C,Manufacturing,b_1-5,Operating profit before tax,241,DOLLARS(millions),13,241241241241241,4022
2011,C,Manufacturing,b_1-5,Total assets,2675,DOLLARS(millions),13,26752675267526752675,4022
2011,C,Manufacturing,b_1-5,Fixed tangible assets,612,DOLLARS(millions),13,612612612612612,4022
2011,C,Manufacturing,c_6-9,Activity unit,1872,COUNT,13,18721872187218721872,4022
2011,C,Manufacturing,c_6-9,Rolling mean employees,13680,COUNT,13,1368013680136801368013680,4022
2011,C,Manufacturing,c_6-9,Salaries and wages paid,561,DOLLARS(millions),13,561561561561561,4022
2011,C,Manufacturing,c_6-9,"Sales, government funding, grants and subsidies",2168,DOLLARS(millions),13,21682168216821682168,4022
2011,C,Manufacturing,c_6-9,Total income,2184,DOLLARS(millions),13,21842184218421842184,4022
2011,C,Manufacturing,c_6-9,Total expenditure,2073,DOLLARS(millions),13,20732073207320732073,4022
2011,C,Manufacturing,c_6-9,Operating profit before tax,128,DOLLARS(millions),13,128128128128128,4022
2011,C,Manufacturing,c_6-9,Total assets,1392,DOLLARS(millions),13,13921392139213921392,4022
2011,C,Manufacturing,c_6-9,Fixed tangible assets,375,DOLLARS(millions),13,375375375375375,4022
2011,C,Manufacturing,d_10-19,Activity unit,1884,COUNT,13,18841884188418841884,4022
2011,C,Manufacturing,d_10-19,Rolling mean employees,25053,COUNT,13,2505325053250532505325053,4022
2011,C,Manufacturing,d_10-19,Salaries and wages paid,1118,DOLLARS(millions),13,11181118111811181118,4022
2011,C,Manufacturing,d_10-19,"Sales, government funding, grants and subsidies",4407,DOLLARS(millions),13,44074407440744074407,4022
2011,C,Manufacturing,d_10-19,Total income,4435,DOLLARS(millions),13,44354435443544354435,4022
2011,C,Manufacturing,d_10-19,Total expenditure,4356,DOLLARS(millions),13,43564356435643564356,4022
2011,C,Manufacturing,d_10-19,Operating profit before tax,98,DOLLARS(millions),13,9898989898,4022
2011,C,Manufacturing,d_10-19,Total assets,2875,DOLLARS(millions),13,28752875287528752875,4022
2011,C,Manufacturing,d_10-19,Fixed tangible assets,684,DOLLARS(millions),13,684684684684684,4022
2011,C,Manufacturing,e_20-49,Activity unit,1149,COUNT,13,11491149114911491149,4022
2011,C,Manufacturing,e_20-49,Rolling mean employees,34092,COUNT,13,3409234092340923409234092,4022
2011,C,Manufacturing,e_20-49,Salaries and wages paid,1658,DOLLARS(millions),13,16581658165816581658,4022
2011,C,Manufacturing,e_20-49,"Sales, government funding, grants and subsidies",7997,DOLLARS(millions),13,79977997799779977997,4022
2011,C,Manufacturing,e_20-49,Total income,8050,DOLLARS(millions),13,80508050805080508050,4022
2011,C,Manufacturing,e_20-49,Total expenditure,7631,DOLLARS(millions),13,76317631763176317631,4022
2011,C,Manufacturing,e_20-49,Operating profit before tax,508,DOLLARS(millions),13,508508508508508,4022
2011,C,Manufacturing,e_20-49,Total assets,5947,DOLLARS(millions),13,59475947594759475947,4022
2011,C,Manufacturing,e_20-49,Fixed tangible assets,1922,DOLLARS(millions),13,19221922192219221922,4022
2011,C,Manufacturing,f_50-99,Activity unit,372,COUNT,13,372372372372372,4022
2011,C,Manufacturing,f_50-99,Rolling mean employees,25515,COUNT,13,2551525515255152551525515,4022
2011,C,Manufacturing,f_50-99,Salaries and wages paid,1335,DOLLARS(millions),13,13351335133513351335,4022
2011,C,Manufacturing,f_50-99,"Sales, government funding, grants and subsidies",10615,DOLLARS(millions),13,1061510615106151061510615,4022
2011,C,Manufacturing,f_50-99,Total income,10746,DOLLARS(millions),13,1074610746107461074610746,4022
2011,C,Manufacturing,f_50-99,Total expenditure,10291,DOLLARS(millions),13,1029110291102911029110291,4022
2011,C,Manufacturing,f_50-99,Operating profit before tax,510,DOLLARS(millions),13,510510510510510,4022
2011,C,Manufacturing,f_50-99,Total assets,6520,DOLLARS(millions),13,65206520652065206520,4022
2011,C,Manufacturing,f_50-99,Fixed tangible assets,2190,DOLLARS(millions),13,21902190219021902190,4022
2011,C,Manufacturing,g_100-199,Activity unit,171,COUNT,13,171171171171171,4022
2011,C,Manufacturing,g_100-199,Rolling mean employees,24069,COUNT,13,2406924069240692406924069,4022
2011,C,Manufacturing,g_100-199,Salaries and wages paid,1459,DOLLARS(millions),13,14591459145914591459,4022
2011,C,Manufacturing,g_100-199,"Sales, government funding, grants and subsidies",10969,DOLLARS(millions),13,1096910969109691096910969,4022
2011,C,Manufacturing,g_100-199,Total income,11192,DOLLARS(millions),13,1119211192111921119211192,4022
2011,C,Manufacturing,g_100-199,Total expenditure,10660,DOLLARS(millions),13,1066010660106601066010660,4022
2011,C,Manufacturing,g_100-199,Operating profit before tax,679,DOLLARS(millions),13,679679679679679,4022
2011,C,Manufacturing,g_100-199,Total assets,9202,DOLLARS(millions),13,92029202920292029202,4022
2011,C,Manufacturing,g_100-199,Fixed tangible assets,2312,DOLLARS(millions),13,23122312231223122312,4022
2011,C,Manufacturing,h_200+,Activity unit,141,COUNT,13,141141141141141,4022
2011,C,Manufacturing,h_200+,Rolling mean employees,83955,COUNT,13,8395583955839558395583955,4022
2011,C,Manufacturing,h_200+,Salaries and wages paid,5284,DOLLARS(millions),13,52845284528452845284,4022
2011,C,Manufacturing,h_200+,"Sales, government funding, grants and subsidies",53126,DOLLARS(millions),13,5312653126531265312653126,4022
2011,C,Manufacturing,h_200+,Total income,53879,DOLLARS(millions),13,5387953879538795387953879,4022
2011,C,Manufacturing,h_200+,Total expenditure,53118,DOLLARS(millions),13,5311853118531185311853118,4022
2011,C,Manufacturing,h_200+,Operating profit before tax,1508,DOLLARS(millions),13,15081508150815081508,4022
2011,C,Manufacturing,h_200+,Total assets,40714,DOLLARS(millions),13,4071440714407144071440714,4022
2011,C,Manufacturing,h_200+,Fixed tangible assets,13877,DOLLARS(millions),13,1387713877138771387713877,4022
2011,C,Manufacturing,i_Industry_Total,Activity unit,20916,COUNT,13,2091620916209162091620916,4022
2011,C,Manufacturing,i_Industry_Total,Rolling mean employees,221694,COUNT,13,221694221694221694221694221694,4022
2011,C,Manufacturing,i_Industry_Total,Salaries and wages paid,12196,DOLLARS(millions),13,1219612196121961219612196,4022
2011,C,Manufacturing,i_Industry_Total,"Sales, government funding, grants and subsidies",94944,DOLLARS(millions),13,9494494944949449494494944,4022
2011,C,Manufacturing,i_Industry_Total,Total income,96174,DOLLARS(millions),13,9617496174961749617496174,4022
2011,C,Manufacturing,i_Industry_Total,Total expenditure,93383,DOLLARS(millions),13,9338393383933839338393383,4022
2011,C,Manufacturing,i_Industry_Total,Operating profit before tax,3875,DOLLARS(millions),13,38753875387538753875,4022
2011,C,Manufacturing,i_Industry_Total,Total assets,71498,DOLLARS(millions),13,7149871498714987149871498,4022
2011,C,Manufacturing,i_Industry_Total,Fixed tangible assets,22617,DOLLARS(millions),13,2261722617226172261722617,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Activity unit,540,COUNT,13,540540540540540,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Rolling mean employees,0,COUNT,13,00000,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Salaries and wages paid,23,DOLLARS(millions),13,2323232323,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,"Sales, government funding, grants and subsidies",2377,DOLLARS(millions),13,23772377237723772377,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total income,2447,DOLLARS(millions),13,24472447244724472447,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total expenditure,2133,DOLLARS(millions),13,21332133213321332133,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Operating profit before tax,361,DOLLARS(millions),13,361361361361361,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total assets,8615,DOLLARS(millions),13,86158615861586158615,4022
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Fixed tangible assets,6118,DOLLARS(millions),13,61186118611861186118,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Activity unit,306,COUNT,13,306306306306306,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Rolling mean employees,636,COUNT,13,636636636636636,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Salaries and wages paid,28,DOLLARS(millions),13,2828282828,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,"Sales, government funding, grants and subsidies",156,DOLLARS(millions),13,156156156156156,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total income,159,DOLLARS(millions),13,159159159159159,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total expenditure,142,DOLLARS(millions),13,142142142142142,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Operating profit before tax,19,DOLLARS(millions),13,1919191919,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total assets,435,DOLLARS(millions),13,435435435435435,4022
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Fixed tangible assets,177,DOLLARS(millions),13,177177177177177,4022
